pseudotime_bin,pseudotime_center,program,mean_score,sem,n_cells
18,0.3699283,interferon_response,0.006617446340619812,0.01139149582298478,148
18,0.3699283,nfkb_inflammatory,0.07901727512005866,0.0172904532753221,148
18,0.3699283,oxidative_stress,0.02595750368611183,0.015226889998997567,148
18,0.3699283,AT2_to_AT1_differentiation,0.029461388556474007,0.018923154768316096,148
18,0.3699283,apoptosis,0.012738548595676873,0.008192759919457811,148
18,0.3699283,senescence,-0.0032331172901120405,0.009618553145420388,148
19,0.38958824,AT2_identity,0.49471002668949554,0.059693408382837154,116
19,0.38958824,AT1_identity,0.02582462281212824,0.023300450880002828,116
19,0.38958824,interferon_response,0.04783116450361861,0.018279891867327834,116
19,0.38958824,nfkb_inflammatory,0.060823334878718965,0.019009954499434656,116
19,0.38958824,oxidative_stress,0.02075257794375082,0.017770670248278192,116
19,0.38958824,AT2_to_AT1_differentiation,0.07811953226413307,0.027090278021833333,116
19,0.38958824,apoptosis,0.003996556618598182,0.009459898592503582,116
19,0.38958824,senescence,0.020578761022993095,0.013101398176836518,116
20,0.40920955,AT2_identity,0.6297025689829892,0.055067806097867544,125
20,0.40920955,AT1_identity,0.04760004642394863,0.022673170752468497,125
20,0.40920955,interferon_response,0.019867447502944467,0.01333342397289097,125
20,0.40920955,nfkb_inflammatory,0.0724508341816433,0.017292307966456692,125
20,0.40920955,oxidative_stress,0.0626979758645629,0.018246286608123365,125
20,0.40920955,AT2_to_AT1_differentiation,0.12593260760839017,0.02894581513807028,125
20,0.40920955,apoptosis,-0.0028400703839560853,0.00762721149267421,125
20,0.40920955,senescence,-0.015655885741246954,0.010950378586666648,125
21,0.4295971,AT2_identity,0.6145724390470768,0.05490918646096985,124
21,0.4295971,AT1_identity,0.10823818403809948,0.02469725874745932,124
21,0.4295971,interferon_response,0.0427943864047008,0.016010891171118476,124
21,0.4295971,nfkb_inflammatory,0.06995376720732911,0.01658216228122486,124
21,0.4295971,oxidative_stress,0.04495485681055427,0.018454504664845113,124
21,0.4295971,AT2_to_AT1_differentiation,0.2181032036485382,0.028610266662409307,124
21,0.4295971,apoptosis,-0.0019415625016468315,0.007845195219839765,124
21,0.4295971,senescence,-0.0018261040115123252,0.0131117964386226,124
