,pseudotime_bin,pseudotime_center,program,mean_score,sem,n_cells
36,4,0.09056054,oxidative_stress,-0.015728511136471644,0.004158237430746229,1954
37,4,0.09056054,AT2_to_AT1_differentiation,-0.05014991906875891,0.005520569395569487,1954
38,4,0.09056054,apoptosis,0.002858344148446315,0.002286611545086158,1954
39,4,0.09056054,senescence,-0.02801423728983327,0.002742399975113765,1954
40,5,0.1092512,AT2_identity,0.2206812564354777,0.013488778205792243,2172
41,5,0.1092512,AT1_identity,0.09201057039270287,0.007120804981098627,2172
42,5,0.1092512,interferon_response,0.01216789634916395,0.0036601773281544066,2172
43,5,0.1092512,nfkb_inflammatory,0.07062225253264816,0.004759923333762522,2172
44,5,0.1092512,oxidative_stress,0.0015015434847049033,0.0042052421229786165,2172
45,5,0.1092512,AT2_to_AT1_differentiation,0.04708255025283597,0.007113515178590452,2172
46,5,0.1092512,apoptosis,0.00805332051914808,0.002298856412974707,2172
47,5,0.1092512,senescence,-0.005192164204353826,0.0029995636197286224,2172
48,6,0.12943931,AT2_identity,0.12921384105090447,0.01769433222861208,1414
49,6,0.12943931,AT1_identity,0.2780076935679084,0.011655991017701362,1414
50,6,0.12943931,interferon_response,0.03353044156215285,0.004974140844985064,1414
51,6,0.12943931,nfkb_inflammatory,0.088654214068576,0.005878495650531863,1414
52,6,0.12943931,oxidative_stress,0.03926082627130247,0.0061284189657054575,1414
53,6,0.12943931,AT2_to_AT1_differentiation,0.16865801957803295,0.01192320816226974,1414
54,6,0.12943931,apoptosis,0.011673300888456847,0.0030319553694644437,1414
55,6,0.12943931,senescence,0.046722032237068487,0.004915966387586702,1414
56,7,0.14963849,AT2_identity,-0.09232330653815464,0.014685123600954114,1272
57,7,0.14963849,AT1_identity,0.3373257795130267,0.013733829423504037,1272
58,7,0.14963849,interferon_response,-0.0020057862741024593,0.0044643495279134545,1272
59,7,0.14963849,nfkb_inflammatory,0.0671483665316971,0.005769062391496568,1272
60,7,0.14963849,oxidative_stress,0.025371065756406498,0.0063600546902670176,1272
61,7,0.14963849,AT2_to_AT1_differentiation,0.06790494792307965,0.009560578098589085,1272
62,7,0.14963849,apoptosis,0.01141985449955971,0.0030572302165137533,1272
63,7,0.14963849,senescence,0.06253771805173994,0.00565101570454423,1272
64,8,0.16949089,AT2_identity,-0.1618130601867445,0.01759339379910529,1007
65,8,0.16949089,AT1_identity,0.565043317074316,0.017077434303758292,1007
66,8,0.16949089,interferon_response,0.010125141605842115,0.005087292557382549,1007
67,8,0.16949089,nfkb_inflammatory,0.03688572541020946,0.006206942837525496,1007
68,8,0.16949089,oxidative_stress,-0.003497746094349328,0.006623703042612418,1007
69,8,0.16949089,AT2_to_AT1_differentiation,0.06444875509122285,0.010129335699084835,1007
70,8,0.16949089,apoptosis,0.013170607984591545,0.003534707551419926,1007
71,8,0.16949089,senescence,0.049287544591257795,0.005874514328948505,1007
72,9,0.1908142,AT2_identity,-0.3471634037670781,0.012457542753800966,1019
73,9,0.1908142,AT1_identity,0.8922347006254667,0.013718038443562773,1019
74,9,0.1908142,interferon_response,-0.004709308905868367,0.0042215474146225845,1019
75,9,0.1908142,nfkb_inflammatory,0.029919142583058354,0.005948567604380861,1019
76,9,0.1908142,oxidative_stress,-0.03706910217795428,0.005612994797764151,1019
77,9,0.1908142,AT2_to_AT1_differentiation,0.04849370304073754,0.00945719617539447,1019
78,9,0.1908142,apoptosis,0.002149062443770739,0.0029024124283183036,1019
79,9,0.1908142,senescence,0.010043320029850028,0.004623216202313734,1019
80,10,0.21079332,AT2_identity,-0.5155594091652901,0.004615299110007189,1830
81,10,0.21079332,AT1_identity,1.039308560681921,0.008765665914333401,1830
82,10,0.21079332,interferon_response,-0.02046458443844096,0.0027946003011829834,1830
83,10,0.21079332,nfkb_inflammatory,0.020462228447940357,0.004066322033245315,1830
84,10,0.21079332,oxidative_stress,-0.048261304179956964,0.0039282988384220854,1830
85,10,0.21079332,AT2_to_AT1_differentiation,0.07930484229249406,0.006804087673706009,1830
86,10,0.21079332,apoptosis,-0.004194677277154803,0.0019514935132762662,1830
87,10,0.21079332,senescence,0.002980463913526785,0.003400861237660384,1830
88,11,0.22901694,AT2_identity,-0.5840618672680628,0.004285530913062978,1760
89,11,0.22901694,AT1_identity,1.1636266445855894,0.008445016878211732,1760
90,11,0.22901694,interferon_response,-0.04805070138828944,0.0021444594254926147,1760
91,11,0.22901694,nfkb_inflammatory,-0.0023553431151395222,0.004034269265530772,1760
92,11,0.22901694,oxidative_stress,-0.057407083594653546,0.003912532873107016,1760
93,11,0.22901694,AT2_to_AT1_differentiation,0.14688991837768062,0.007244826454682108,1760
94,11,0.22901694,apoptosis,-0.00825640209123846,0.001990737269111151,1760
95,11,0.22901694,senescence,0.00799949032155391,0.0035099547972710877,1760
96,12,0.24719816,AT2_identity,-0.578634035790206,0.006896066008791216,597
97,12,0.24719816,AT1_identity,1.2020910078652034,0.014588994135272796,597
98,12,0.24719816,interferon_response,-0.061048446169244576,0.0030964920814151027,597
99,12,0.24719816,nfkb_inflammatory,-0.022945766531881216,0.006684142811716952,597
100,12,0.24719816,oxidative_stress,-0.0659384736266162,0.006207907506559959,597
101,12,0.24719816,AT2_to_AT1_differentiation,0.16334271181618598,0.01195785857333748,597
102,12,0.24719816,apoptosis,-0.0009971658967222903,0.003688601929673239,597
103,12,0.24719816,senescence,0.003334623168068763,0.005865980915256089,597
104,13,0.26650864,AT2_identity,-0.5586531857569772,0.0162997327729109,87
105,13,0.26650864,AT1_identity,1.2492161300788975,0.04262204683463505,87
106,13,0.26650864,interferon_response,-0.05076371864689716,0.008813342503715056,87
107,13,0.26650864,nfkb_inflammatory,-0.028042298725939458,0.01751335108949085,87
108,13,0.26650864,oxidative_stress,-0.04135055161851337,0.020314126626372865,87
109,13,0.26650864,AT2_to_AT1_differentiation,0.16070880382382385,0.03198259444488882,87
110,13,0.26650864,apoptosis,-0.017781481914075102,0.00946067775397856,87
111,13,0.26650864,senescence,-0.017845490474388274,0.012622762842083112,87
112,14,0.28228635,AT2_identity,-0.5826661054156457,0.061241209348223094,7
113,14,0.28228635,AT1_identity,1.0937358171735982,0.2293543402307949,7
114,14,0.28228635,interferon_response,-0.0786531117866259,0.019907395645979063,7
115,14,0.28228635,nfkb_inflammatory,-0.09096678696958758,0.030531324741793636,7
116,14,0.28228635,oxidative_stress,-0.1264170737899032,0.05554223314521259,7
117,14,0.28228635,AT2_to_AT1_differentiation,0.11464074269917712,0.0730652519034381,7
118,14,0.28228635,apoptosis,-0.03398077722206437,0.028562805365990446,7
119,14,0.28228635,senescence,-0.043124023203108076,0.03313500459894387,7
120,15,0.31355533,AT2_identity,-0.1886707835481807,0.0,1
121,15,0.31355533,AT1_identity,-0.197034669098703,0.0,1
122,15,0.31355533,interferon_response,-0.06980094820340006,0.0,1
123,15,0.31355533,nfkb_inflammatory,-0.06941292455484978,0.0,1
124,15,0.31355533,oxidative_stress,0.1523899059305865,0.0,1
125,15,0.31355533,AT2_to_AT1_differentiation,-0.21942847894260267,0.0,1
126,15,0.31355533,apoptosis,-0.04535156403041997,0.0,1
127,15,0.31355533,senescence,-0.04523818512034392,0.0,1
128,29,0.5910236,AT2_identity,-0.3384078123814745,0.0,1
129,29,0.5910236,AT1_identity,-0.19818684070752432,0.0,1
130,29,0.5910236,interferon_response,-0.07840358533484477,0.0,1
131,29,0.5910236,nfkb_inflammatory,-0.08827921635079035,0.0,1
132,29,0.5910236,oxidative_stress,-0.05226905688989651,0.0,1
133,29,0.5910236,AT2_to_AT1_differentiation,-0.18494466259758982,0.0,1
134,29,0.5910236,apoptosis,0.16526613862706133,0.0,1
135,29,0.5910236,senescence,-0.08434645660322769,0.0,1
136,34,0.68443817,AT2_identity,-0.6681202543437341,0.0,1
137,34,0.68443817,AT1_identity,-0.18333027674600189,0.0,1
138,34,0.68443817,interferon_response,-0.047301206278190136,0.0,1
139,34,0.68443817,nfkb_inflammatory,0.06151957993311791,0.0,1
140,34,0.68443817,oxidative_stress,-0.14504733185542185,0.0,1
141,34,0.68443817,AT2_to_AT1_differentiation,-0.2539908183202153,0.0,1
142,34,0.68443817,apoptosis,0.003481710984642228,0.0,1
143,34,0.68443817,senescence,-0.17174815507671454,0.0,1
144,35,0.7100758,AT2_identity,-0.43981202162455785,0.0,1
145,35,0.7100758,AT1_identity,-0.24891558095737665,0.0,1
146,35,0.7100758,interferon_response,-0.06236324504251236,0.0,1
147,35,0.7100758,nfkb_inflammatory,0.11303578857178741,0.0,1
148,35,0.7100758,oxidative_stress,-0.08551756065469897,0.0,1
149,35,0.7100758,AT2_to_AT1_differentiation,-0.30674397986600427,0.0,1
150,35,0.7100758,apoptosis,-0.02708107089144634,0.0,1
151,35,0.7100758,senescence,0.17396358444112664,0.0,1
152,36,0.7229176,AT2_identity,-0.4401438034223722,0.0,1
153,36,0.7229176,AT1_identity,-0.23026676519111253,0.0,1
154,36,0.7229176,interferon_response,-0.12855450315647776,0.0,1
155,36,0.7229176,nfkb_inflammatory,-0.12949929765102583,0.0,1
156,36,0.7229176,oxidative_stress,-0.17166550009117804,0.0,1
157,36,0.7229176,AT2_to_AT1_differentiation,0.4675186024790135,0.0,1
158,36,0.7229176,apoptosis,-0.07484880749920655,0.0,1
159,36,0.7229176,senescence,-0.12860760610048558,0.0,1
160,37,0.74445164,AT2_identity,-0.4023268383283147,0.0,1
161,37,0.74445164,AT1_identity,0.17958968170722253,0.0,1
162,37,0.74445164,interferon_response,-0.06137808230629701,0.0,1
163,37,0.74445164,nfkb_inflammatory,0.17715974980183144,0.0,1
164,37,0.74445164,oxidative_stress,0.20593443721755522,0.0,1
165,37,0.74445164,AT2_to_AT1_differentiation,0.5742900449426738,0.0,1
166,37,0.74445164,apoptosis,-0.022752900857704976,0.0,1
